English (en),Dutch (nl),English (en),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,nuttig,aantal woorden,gelijk,nieuw,dutch new
confound,verwarren,confound,0,1,0,0,0,0,0,0,0,0,ja,1,,,verwarren
confounded,beschaamd,confounded,0,1,0,0,0,0,0,0,0,0,ja,1,,,beschaamd
confront,confronteren,confront,0,0,1,0,0,0,0,0,0,0,ja,1,,,confronteren
confuse,verwarren,confuse,0,1,0,0,0,0,0,0,0,0,ja,1,,,verwarren
confusion,verwarring,confusion,0,1,1,0,0,1,0,0,0,0,ja,1,,,verwarring
congenial,sympathiek,congenial,1,0,0,0,0,0,0,0,0,0,ja,1,,,sympathiek
congenital,aangeboren,congenital,0,0,0,0,0,0,0,0,0,0,nee,1,,,aangeboren
congestion,congestie,congestion,0,1,0,0,0,0,0,0,0,0,ja,1,,,congestie
conglomerate,conglomeraat,conglomerate,0,0,0,0,0,0,0,0,0,1,ja,1,,,conglomeraat
conglomeration,opeenhoping,conglomeration,0,0,0,0,0,0,0,0,0,0,nee,1,,,opeenhoping
congratulatory,felicitatie-,congratulatory,1,0,0,0,0,0,1,0,0,0,ja,1,,,felicitatie-
congregate,samenkomen,congregate,0,0,0,0,0,0,0,0,0,0,nee,1,,,samenkomen
congregation,gemeente,congregation,1,0,0,0,0,0,0,0,0,1,ja,1,,,gemeente
congress,congres,congress,0,0,0,0,1,0,0,0,0,1,ja,1,,,congres
congressional,congres,congressional,0,0,0,0,0,0,0,0,0,0,nee,1,,,congres
congressman,congreslid,congressman,0,0,0,0,0,0,0,0,0,1,ja,1,,,congreslid
congruence,congruentie,congruence,1,0,0,0,0,0,0,0,0,1,ja,1,,,congruentie
conic,conisch,conic,0,0,0,0,0,0,0,0,0,0,nee,1,,,conisch
conical,conisch,conical,0,0,0,0,0,0,0,0,0,0,nee,1,,,conisch
conjecture,vermoeden,conjecture,0,0,0,1,0,0,0,0,0,0,ja,1,,,vermoeden
conjugal,echtelijk,conjugal,0,0,0,0,0,0,0,0,0,0,nee,1,,,echtelijk
conjugate,conjugeren,conjugate,0,0,0,0,0,0,0,0,0,0,nee,1,,,conjugeren
conjugation,conjugatie,conjugation,0,0,0,0,0,0,0,0,0,0,nee,1,,,conjugatie
conjunction,conjunctie,conjunction,0,0,0,0,0,0,0,0,0,0,nee,1,,,conjunctie
conjunctive,verbindend,conjunctive,0,0,0,0,0,0,0,0,0,0,nee,1,,,verbindend
conjure,toveren,conjure,0,0,0,1,0,0,0,0,1,0,ja,1,,,toveren
conjuring,goochelen,conjuring,0,1,0,0,0,0,0,0,0,0,ja,1,,,goochelen
connect,aansluiten,connect,0,0,0,0,0,0,0,0,0,0,nee,1,,,aansluiten
connected,verbonden,connected,0,0,0,0,0,0,0,0,0,0,nee,1,,,verbonden
connection,verbinding,connection,0,0,0,0,0,0,0,0,0,0,nee,1,,,verbinding
connective,verbindende,connective,0,0,0,0,0,0,0,0,0,1,ja,1,,,verbindende
connoisseur,fijnproever,connoisseur,1,0,0,0,0,0,1,0,0,1,ja,1,,,fijnproever
conquer,veroveren,conquer,0,0,0,0,0,0,0,0,0,0,nee,1,,,veroveren
conqueror,veroveraar,conqueror,0,0,0,0,0,0,0,0,0,0,nee,1,,,veroveraar
conquest,verovering,conquest,0,1,1,0,0,1,0,0,0,0,ja,1,,,verovering
conscience,geweten,conscience,1,0,0,0,0,0,0,0,0,1,ja,1,,,geweten
conscientious,gewetensvol,conscientious,1,0,0,0,0,0,0,0,0,1,ja,1,,,gewetensvol
consciousness,bewustzijn,consciousness,1,0,0,0,0,0,0,0,0,0,ja,1,,,bewustzijn
conscription,dienstplicht,conscription,0,0,0,0,0,0,0,0,0,0,nee,1,,,dienstplicht
consecration,wijding,consecration,1,0,0,1,0,0,1,1,0,1,ja,1,,,wijding
consecutive,opeenvolgend,consecutive,0,0,0,0,0,0,0,0,0,0,nee,1,,,opeenvolgend
consent,toestemming,consent,0,0,0,0,0,0,0,0,0,0,nee,1,,,toestemming
consenting,toestemmen,consenting,0,0,0,0,0,0,0,0,0,0,nee,1,,,toestemmen
consequence,gevolg,consequence,0,0,0,0,0,0,0,0,0,0,nee,1,,,gevolg
consequent,consequent,consequent,0,0,0,1,0,0,0,0,0,0,ja,1,,,consequent
conservation,gesprek,conservation,1,0,0,1,0,0,0,0,0,1,ja,1,,,gesprek
conservatism,conservatisme,conservatism,0,0,0,0,0,0,0,0,0,0,nee,1,,,conservatisme
conservative,conservatief,conservative,0,0,0,0,0,0,0,0,0,0,nee,1,,,conservatief
conservatory,serre,conservatory,0,0,0,0,0,0,0,0,0,0,nee,1,,,serre
conserve,conserveren,conserve,1,0,0,0,0,0,0,0,0,0,ja,1,,,conserveren
considerable,aanzienlijk,considerable,1,0,0,0,0,0,0,0,0,0,ja,1,,,aanzienlijk
considerate,attent,considerate,1,0,0,0,0,0,0,0,0,1,ja,1,,,attent
consignee,geadresseerde,consignee,0,0,0,0,0,0,0,0,0,0,nee,1,,,geadresseerde
consignment,zending,consignment,0,0,0,0,0,0,0,0,0,0,nee,1,,,zending
consistency,consistentie,consistency,1,0,0,0,0,0,0,0,0,1,ja,1,,,consistentie
consistent,consequent,consistent,0,0,0,0,0,0,0,0,0,0,nee,1,,,consequent
consolation,troost,consolation,0,0,0,0,0,0,0,0,0,0,nee,1,,,troost
console,troosten,console,1,0,0,0,0,0,0,1,0,0,ja,1,,,troosten
consolidate,consolideren,consolidate,0,0,0,0,0,0,0,0,0,0,nee,1,,,consolideren
consolidation,consolidering,consolidation,0,0,0,0,0,0,0,0,0,0,nee,1,,,consolidering
consonant,medeklinker,consonant,1,0,0,0,0,0,0,0,0,0,ja,1,,,medeklinker
consort,gemalin,consort,0,0,0,0,0,0,0,0,0,1,ja,1,,,gemalin
conspicuous,opvallend,conspicuous,0,0,0,0,0,0,0,0,0,0,nee,1,,,opvallend
conspiracy,samenzwering,conspiracy,0,0,0,0,0,1,0,0,0,0,ja,1,,,samenzwering
conspirator,samenzweerder,conspirator,0,1,1,1,1,1,0,0,0,0,ja,1,,,samenzweerder
conspire,samenzweren,conspire,0,1,0,0,0,1,0,0,0,0,ja,1,,,samenzweren
constable,politieagent,constable,0,0,0,0,0,0,0,0,0,1,ja,1,,,politieagent
constancy,standvastigheid,constancy,1,0,0,0,0,0,0,0,0,1,ja,1,,,standvastigheid
constant,constante,constant,1,0,0,0,0,0,0,0,0,1,ja,1,,,constante
constantly,voortdurend,constantly,0,0,0,0,0,0,0,0,0,1,ja,1,,,voortdurend
constellation,sterrenbeeld,constellation,0,0,0,0,0,0,0,0,0,0,nee,1,,,sterrenbeeld
consternation,consternatie,consternation,0,1,1,0,0,1,0,0,0,0,ja,1,,,consternatie
constipation,constipatie,constipation,0,1,0,0,1,0,0,0,0,0,ja,1,,,constipatie
constituent,bestanddeel,constituent,0,0,0,0,0,0,0,0,0,0,nee,1,,,bestanddeel
constituents,bestanddelen,constituents,0,0,0,0,0,0,0,0,0,0,nee,1,,,bestanddelen
constitute,vormen,constitute,0,0,0,0,0,0,0,0,0,1,ja,1,,,vormen
constitution,grondwet,constitution,0,0,0,0,0,0,0,0,0,0,nee,1,,,grondwet
constitutional,grondwettelijk,constitutional,1,0,0,0,0,0,0,0,0,1,ja,1,,,grondwettelijk
constitutionality,grondwettigheid,constitutionality,0,0,0,0,0,0,0,0,0,0,nee,1,,,grondwettigheid
constrain,beperken,constrain,0,1,0,0,0,1,0,0,0,0,ja,1,,,beperken
constrained,gedwongen,constrained,0,1,0,0,0,0,0,0,0,0,ja,1,,,gedwongen
constraint,beperking,constraint,0,1,1,0,0,1,0,1,0,0,ja,1,,,beperking
construct,construeren,construct,1,0,0,0,0,0,0,0,0,0,ja,1,,,construeren
construction,bouw,construction,0,0,0,0,0,0,0,0,0,0,nee,1,,,bouw
construe,construeren,construe,0,0,0,0,0,0,0,0,0,0,nee,1,,,construeren
consul,consul,consul,0,0,0,0,0,0,0,0,0,1,ja,1,,,consul
consult,raadplegen,consult,0,0,0,0,0,0,0,0,0,1,ja,1,,,raadplegen
consultation,overleg,consultation,0,0,0,0,0,0,0,0,0,0,nee,1,,,overleg
consume,consumeren,consume,0,0,0,0,0,0,0,0,0,0,nee,1,,,consumeren
consuming,consumeren,consuming,0,0,0,0,0,0,0,0,0,0,nee,1,,,consumeren
consummate,doortrapt,consummate,1,0,0,0,0,0,0,0,0,0,ja,1,,,doortrapt
consummation,voltrekking,consummation,0,0,0,0,0,0,0,0,0,0,nee,1,,,voltrekking
consumption,consumptie,consumption,0,0,0,0,0,0,0,0,0,0,nee,1,,,consumptie
contact,contact,contact,1,0,0,0,0,0,0,0,0,0,ja,1,,,contact
contagion,besmetting,contagion,0,1,0,1,1,1,0,0,0,0,ja,1,,,besmetting
contagious,besmettelijk,contagious,0,1,0,0,1,1,0,0,0,0,ja,1,,,besmettelijk
containment,containment,containment,0,0,0,0,0,0,0,0,0,0,nee,1,,,containment
contaminate,besmetten,contaminate,0,1,0,0,1,0,0,0,0,0,ja,1,,,besmetten
contaminated,vervuild,contaminated,0,1,0,0,1,1,0,1,0,0,ja,1,,,vervuild
contamination,besmetting,contamination,0,1,0,0,1,0,0,0,0,0,ja,1,,,besmetting
contemplate,aanschouwen,contemplate,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanschouwen
contemplation,overpeinzing,contemplation,1,0,0,0,0,0,0,0,0,0,ja,1,,,overpeinzing
contemplative,beschouwend,contemplative,0,0,0,0,0,0,0,0,0,0,nee,1,,,beschouwend
contemporaneous,gelijktijdig,contemporaneous,0,0,0,0,0,0,0,0,0,0,nee,1,,,gelijktijdig
contemporary,tijdgenoot,contemporary,0,0,0,0,0,0,0,0,0,0,nee,1,,,tijdgenoot
contempt,minachting,contempt,0,1,1,0,1,1,0,0,0,0,ja,1,,,minachting
contemptible,verachtelijk,contemptible,0,1,1,0,1,0,0,0,0,0,ja,1,,,verachtelijk
contemptuous,minachtend,contemptuous,0,1,1,0,0,0,0,0,0,0,ja,1,,,minachtend
contending,strijdende,contending,0,0,0,0,0,0,0,0,0,0,nee,1,,,strijdende
content,inhoud,content,1,0,0,0,0,0,1,0,0,1,ja,1,,,inhoud
contention,bewering,contention,0,0,0,0,0,0,0,0,0,0,nee,1,,,bewering
contentious,omstreden,contentious,0,1,1,0,1,1,0,0,0,0,ja,1,,,omstreden
contents,inhoud,contents,0,0,0,0,0,0,0,0,0,0,nee,1,,,inhoud
context,context,context,0,0,0,0,0,0,0,0,0,0,nee,1,,,context
contiguous,aangrenzend,contiguous,0,0,0,0,0,0,0,0,0,0,nee,1,,,aangrenzend
continence,zelfbeheersing,continence,0,0,0,0,0,0,0,0,0,0,nee,1,,,zelfbeheersing
continent,continent,continent,0,0,0,0,0,0,0,0,0,0,nee,1,,,continent
continental,continentaal,continental,0,0,0,0,0,0,0,0,0,0,nee,1,,,continentaal
contingency,onvoorziene,contingency,0,0,0,0,0,0,0,0,0,0,nee,1,,,onvoorziene
contingent,contingent,contingent,0,0,0,1,0,0,0,0,0,0,ja,1,,,contingent
continual,voortdurend,continual,0,0,0,0,0,0,0,0,0,0,nee,1,,,voortdurend
continually,aanhoudend,continually,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanhoudend
continuance,voortzetting,continuance,0,0,0,0,0,0,0,0,0,0,nee,1,,,voortzetting
continuation,voortzetting,continuation,0,0,0,1,0,0,0,0,0,0,ja,1,,,voortzetting
continue,doorgaan met,continue,1,0,0,1,0,0,0,0,0,1,ja,2,,continueren,continueren
continued,vervolgd,continued,0,0,0,0,0,0,0,0,0,0,nee,1,,,vervolgd
continuing,voortgezette,continuing,0,0,0,0,0,0,0,0,0,0,nee,1,,,voortgezette
continuity,continuïteit,continuity,0,0,0,0,0,0,0,0,0,0,nee,1,,,continuïteit
continuous,doorlopend,continuous,0,0,0,0,0,0,0,0,0,0,nee,1,,,doorlopend
continuously,doorlopend,continuously,0,0,0,0,0,0,0,0,0,0,nee,1,,,doorlopend
contour,contour,contour,1,0,0,0,0,0,0,0,0,0,ja,1,,,contour
contraband,smokkelwaar,contraband,0,1,1,0,1,1,0,0,0,0,ja,1,,,smokkelwaar
contract,contract,contract,0,0,0,0,0,0,0,0,0,0,nee,1,,,contract
contracted,gecontracteerd,contracted,0,1,0,0,0,0,0,0,0,0,ja,1,,,gecontracteerd
contractile,samentrekkende,contractile,0,0,0,0,0,0,0,0,0,0,nee,1,,,samentrekkende
contracting,aanbestedende,contracting,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanbestedende
contraction,samentrekking,contraction,0,0,0,0,0,0,0,0,0,0,nee,1,,,samentrekking
contradict,tegenspreken,contradict,0,1,1,0,0,0,0,0,0,0,ja,1,,,tegenspreken
contradiction,tegenstrijdigheid,contradiction,0,1,0,0,0,0,0,0,0,0,ja,1,,,tegenstrijdigheid
contradictory,tegenstrijdig,contradictory,0,1,0,0,0,0,0,0,0,0,ja,1,,,tegenstrijdig
contrary,tegendeel,contrary,0,1,0,0,0,0,0,0,0,0,ja,1,,,tegendeel
contrast,contrast,contrast,0,0,0,0,0,0,0,0,0,0,nee,1,,,contrast
contrasted,gecontrasteerd,contrasted,0,1,0,0,0,0,0,0,0,0,ja,1,,,gecontrasteerd
contravene,overtreden,contravene,0,1,0,0,0,0,0,0,0,0,ja,1,,,overtreden
contravention,overtreding,contravention,0,1,0,0,0,0,0,0,0,0,ja,1,,,overtreding
contribute,bijdragen,contribute,1,0,0,0,0,0,0,0,0,0,ja,1,,,bijdragen
contributor,bijdrager,contributor,1,0,0,0,0,0,0,0,0,1,ja,1,,,bijdrager
contrived,slinks,contrived,0,0,0,0,0,0,0,0,0,0,nee,1,,,slinks
control,controle,control,0,0,0,0,0,0,0,0,0,0,nee,1,,,controle
controversial,controversieel,controversial,0,1,1,0,0,0,0,0,0,0,ja,1,,,controversieel
controversy,controverse,controversy,0,1,0,0,0,0,0,0,0,0,ja,1,,,controverse
conundrum,woordraadsel,conundrum,0,0,0,0,0,0,0,0,0,0,nee,1,,,woordraadsel
convalescent,herstellend,convalescent,0,0,0,0,0,0,0,0,0,0,nee,1,,,herstellend
convection,convectie,convection,0,0,0,0,0,0,0,0,0,0,nee,1,,,convectie
convene,bijeenroepen,convene,0,0,0,0,0,0,0,0,0,0,nee,1,,,bijeenroepen
convenience,gemak,convenience,1,0,0,0,0,0,0,0,0,0,ja,1,,,gemak
conveniences,gemakken,conveniences,0,0,0,0,0,0,0,0,0,0,nee,1,,,gemakken
convenient,geschikt,convenient,1,0,0,0,0,0,0,0,0,0,ja,1,,,geschikt
convent,klooster,convent,1,0,0,0,0,0,0,0,0,1,ja,1,,,klooster
convention,conventie,convention,1,0,0,0,0,0,0,0,0,0,ja,1,,,conventie
conventional,conventioneel,conventional,0,0,0,0,0,0,0,0,0,0,nee,1,,,conventioneel
converge,convergeren,converge,0,0,0,0,0,0,0,0,0,0,nee,1,,,convergeren
convergence,convergentie,convergence,0,0,0,1,0,0,0,0,0,0,ja,1,,,convergentie
convergent,convergerend,convergent,0,0,0,0,0,0,0,0,0,0,nee,1,,,convergerend
conversant,vertrouwd,conversant,1,0,0,0,0,0,0,0,0,0,ja,1,,,vertrouwd
conversation,gesprek,conversation,0,0,0,0,0,0,0,0,0,0,nee,1,,,gesprek
conversational,spraakzaam,conversational,1,0,0,0,0,0,0,0,0,0,ja,1,,,spraakzaam
converse,converseren,converse,0,0,0,0,0,0,0,0,0,0,nee,1,,,converseren
conversing,converseren,conversing,0,0,0,0,0,0,0,0,0,0,nee,1,,,converseren
conversion,conversie,conversion,0,0,0,0,0,0,0,0,0,0,nee,1,,,conversie
convert,converteren,convert,1,0,0,0,0,0,0,0,0,0,ja,1,,,converteren
converted,geconverteerde,converted,0,0,0,0,0,0,0,0,0,0,nee,1,,,geconverteerde
convertible,converteerbaar,convertible,0,0,0,0,0,0,0,0,0,0,nee,1,,,converteerbaar
convex,convex,convex,0,0,0,0,0,0,0,0,0,0,nee,1,,,convex
convexity,convexiteit,convexity,0,0,0,0,0,0,0,0,0,0,nee,1,,,convexiteit
convey,overbrengen,convey,0,0,0,0,0,0,0,0,0,0,nee,1,,,overbrengen
conveyance,vervoermiddel,conveyance,0,0,0,0,0,0,0,0,0,0,nee,1,,,vervoermiddel
conveyancing,overdrachtsrecht,conveyancing,0,0,0,0,0,0,0,0,0,1,ja,1,,,overdrachtsrecht
convict,veroordelen,convict,0,1,1,0,1,1,0,1,0,0,ja,1,,,veroordelen
conviction,overtuiging,conviction,0,1,0,0,0,0,0,0,0,0,ja,1,,,overtuiging
convince,overtuigen,convince,1,0,0,1,0,0,0,0,0,1,ja,1,,,overtuigen
convinced,overtuigd,convinced,0,0,0,0,0,0,0,0,0,1,ja,1,,,overtuigd
convincing,overtuigend,convincing,0,0,0,0,0,0,0,0,0,1,ja,1,,,overtuigend
convocation,oproeping,convocation,0,0,0,0,0,0,0,0,0,0,nee,1,,,oproeping
convoluted,ingewikkelde,convoluted,0,0,0,0,0,0,0,0,0,0,nee,1,,,ingewikkelde
convolution,kronkeling,convolution,0,0,0,0,0,0,0,0,0,0,nee,1,,,kronkeling
convoy,konvooi,convoy,0,0,0,0,0,0,0,0,0,0,nee,1,,,konvooi
coo,kirren,coo,0,0,0,0,0,0,0,0,0,0,nee,1,,,kirren
cook,koken,cook,0,0,0,0,0,0,0,0,0,0,nee,1,,,koken
cookery,kookkunst,cookery,0,0,0,0,0,0,0,0,0,0,nee,1,,,kookkunst
cooking,koken,cooking,0,0,0,0,0,0,0,0,0,0,nee,1,,,koken
cool,koel,cool,1,0,0,0,0,0,0,0,0,0,ja,1,,,koel
cooler,koeler,cooler,0,0,0,0,0,0,0,0,0,0,nee,1,,,koeler
cooling,koeling,cooling,0,0,0,0,0,0,0,0,0,0,nee,1,,,koeling
coolness,koelte,coolness,1,0,0,0,0,0,0,0,0,0,ja,1,,,koelte
coop,kippenren,coop,0,1,1,0,1,0,0,0,0,0,ja,1,,,kippenren
cooperate,samenwerken,cooperate,1,0,0,0,0,0,0,0,0,0,ja,1,,,samenwerken
cooperating,meewerkende,cooperating,1,0,0,0,0,0,0,0,0,1,ja,1,,,meewerkende
cooperation,samenwerking,cooperation,1,0,0,0,0,0,0,0,0,1,ja,1,,,samenwerking
cooperative,coöperatieve,cooperative,1,0,0,0,0,0,0,0,0,1,ja,1,,,coöperatieve
coordinate,coördineren,coordinate,0,0,0,0,0,0,0,0,0,0,nee,1,,,coördineren
cop,politieagent,cop,0,0,0,0,0,1,0,0,0,1,ja,1,,,politieagent
copious,overvloedig,copious,0,0,0,0,0,0,0,0,0,0,nee,1,,,overvloedig
copper,koper,copper,0,0,0,0,0,0,0,0,0,0,nee,1,,,koper
copy,kopiëren,copy,0,1,0,0,0,0,0,0,0,0,ja,1,,,kopiëren
copycat,copycat,copycat,0,1,1,0,1,0,0,0,0,0,ja,1,,,copycat
copying,kopiëren,copying,0,0,0,0,0,0,0,0,0,0,nee,1,,,kopiëren
copyright,auteursrechten,copyright,0,0,0,0,0,0,0,0,0,0,nee,1,,,auteursrechten
coral,koraal,coral,0,0,0,0,0,0,0,0,0,0,nee,1,,,koraal
cord,koord,cord,0,0,0,0,0,0,0,0,0,0,nee,1,,,koord
cordon,cordon,cordon,0,0,0,0,0,0,0,0,0,0,nee,1,,,cordon
corduroy,corduroy,corduroy,0,0,0,0,0,0,0,0,0,0,nee,1,,,corduroy
core,kern,core,1,0,0,0,0,0,0,0,0,0,ja,1,,,kern
cork,kurk,cork,0,0,0,0,0,0,0,0,0,0,nee,1,,,kurk
corkscrew,kurketrekker,corkscrew,0,0,0,0,0,0,0,0,0,0,nee,1,,,kurketrekker
corn,maïs,corn,0,0,0,0,0,0,0,0,0,0,nee,1,,,maïs
cornea,hoornvlies,cornea,0,0,0,0,0,0,0,0,0,0,nee,1,,,hoornvlies
corner,hoek,corner,0,0,0,0,0,0,0,0,0,0,nee,1,,,hoek
cornet,kornet,cornet,0,0,0,0,0,0,0,0,0,0,nee,1,,,kornet
cornice,kroonlijst,cornice,0,0,0,0,0,0,0,0,0,0,nee,1,,,kroonlijst
cornstarch,maïzena,cornstarch,0,0,0,0,0,0,0,0,0,0,nee,1,,,maïzena
corollary,gevolgtrekking,corollary,0,0,0,0,0,0,0,0,0,0,nee,1,,,gevolgtrekking
corona,corona,corona,0,0,0,0,0,0,0,0,0,0,nee,1,,,corona
coronation,kroning,coronation,1,0,0,0,0,0,1,0,0,1,ja,1,,,kroning
coroner,lijkschouwer,coroner,0,1,0,0,0,0,0,0,0,0,ja,1,,,lijkschouwer
corporal,korporaal,corporal,0,1,0,0,0,0,0,0,0,0,ja,1,,,korporaal
corporate,zakelijke,corporate,0,0,0,0,0,0,0,0,0,0,nee,1,,,zakelijke
corporation,corporatie,corporation,1,0,0,0,0,0,0,0,0,1,ja,1,,,corporatie
corporeal,stoffelijk,corporeal,1,0,0,0,0,0,0,0,0,0,ja,1,,,stoffelijk
corps,corps,corps,0,0,0,0,0,0,0,0,0,0,nee,1,,,corps
corpse,lijk,corpse,0,1,0,0,1,0,0,1,0,0,ja,1,,,lijk
corpus,corpus,corpus,0,0,0,0,0,0,0,0,0,0,nee,1,,,corpus
corral,kraal,corral,0,0,0,0,0,0,0,0,0,0,nee,1,,,kraal
correction,correctie,correction,0,1,0,0,0,0,0,0,0,0,ja,1,,,correctie
corrective,correctief,corrective,1,0,0,0,0,0,0,0,0,0,ja,1,,,correctief
correctness,juistheid,correctness,0,0,0,0,0,0,0,0,0,1,ja,1,,,juistheid
correlation,correlatie,correlation,0,0,0,0,0,0,0,0,0,0,nee,1,,,correlatie
correlative,correlatief,correlative,0,0,0,0,0,0,0,0,0,0,nee,1,,,correlatief
correspond,overeenstemmen,correspond,0,0,0,0,0,0,0,0,0,0,nee,1,,,overeenstemmen
correspondence,correspondentie,correspondence,1,0,0,1,0,0,0,0,0,0,ja,1,,,correspondentie
correspondent,correspondent,correspondent,0,0,0,0,0,0,0,0,0,0,nee,1,,,correspondent
corridor,gang,corridor,0,0,0,0,0,0,0,0,0,0,nee,1,,,gang
corroborate,bevestigen,corroborate,1,0,0,0,0,0,0,0,0,1,ja,1,,,bevestigen
corroboration,bevestiging,corroboration,0,0,0,0,0,0,0,0,0,1,ja,1,,,bevestiging
corrosion,corrosie,corrosion,0,1,0,0,0,0,0,0,0,0,ja,1,,,corrosie
corrosive,bijtend,corrosive,0,1,0,0,0,1,0,0,0,0,ja,1,,,bijtend
corrupt,corrupt,corrupt,0,1,0,0,0,0,0,0,0,0,ja,1,,,corrupt
corrupting,corrumperende,corrupting,0,1,1,0,1,1,0,1,0,0,ja,1,,,corrumperende
corruption,corruptie,corruption,0,1,0,0,1,0,0,0,0,0,ja,1,,,corruptie
corset,korset,corset,0,0,0,0,0,0,0,0,0,0,nee,1,,,korset
cortex,schors,cortex,0,0,0,0,0,0,0,0,0,0,nee,1,,,schors
cortical,corticale,cortical,0,0,0,0,0,0,0,0,0,0,nee,1,,,corticale
corvette,korvet,corvette,0,0,0,0,0,0,0,0,0,0,nee,1,,,korvet
cosmetic,schoonheidsmiddel,cosmetic,0,0,0,0,0,0,0,0,0,0,nee,1,,,schoonheidsmiddel
cosmetics,schoonheidsmiddelen,cosmetics,0,0,0,0,0,0,0,0,0,0,nee,1,,,schoonheidsmiddelen
cosmic,kosmisch,cosmic,0,0,0,0,0,0,0,0,0,0,nee,1,,,kosmisch
cosmology,kosmologie,cosmology,0,0,0,0,0,0,0,0,0,0,nee,1,,,kosmologie
cosmopolitan,kosmopolitisch,cosmopolitan,1,0,0,0,0,0,0,0,0,1,ja,1,,,kosmopolitisch
cosmos,kosmos,cosmos,0,0,0,0,0,0,0,0,0,0,nee,1,,,kosmos
cost,kosten,cost,0,0,0,0,0,0,0,0,0,0,nee,1,,,kosten
costly,duur,costly,0,0,0,0,0,0,0,0,0,0,nee,1,,,duur
costume,kostuum,costume,0,0,0,0,0,0,0,0,0,0,nee,1,,,kostuum
cosy,knus,cosy,1,0,0,0,0,0,0,0,0,0,ja,1,,,knus
cot,kinderbed,cot,0,0,0,0,0,0,0,0,0,0,nee,1,,,kinderbed
cote,cote,cote,0,0,0,0,0,0,0,0,0,0,nee,1,,,cote
cottage,huisje,cottage,0,0,0,0,0,0,0,0,0,0,nee,1,,,huisje
cotton,katoen,cotton,0,0,0,0,0,0,0,0,0,0,nee,1,,,katoen
couch,divan,couch,0,0,0,0,0,0,0,1,0,0,ja,1,,,divan
cougar,poema,cougar,0,0,0,0,0,0,0,0,0,0,nee,1,,,poema
cough,hoesten,cough,0,1,0,0,1,0,0,0,0,0,ja,1,,,hoesten
council,raad,council,1,0,0,1,0,0,0,0,0,1,ja,1,,,raad
counsel,raad,counsel,1,0,0,0,0,0,0,0,0,1,ja,1,,,raad
counsellor,raadgever,counsellor,0,1,1,0,0,1,0,0,0,1,ja,1,,,raadgever
counselor,raadgever,counselor,1,0,0,0,0,0,0,0,0,1,ja,1,,,raadgever
count,tellen,count,1,0,0,0,0,0,0,0,0,1,ja,1,,,tellen
countdown,countdown,countdown,0,0,0,1,0,0,0,0,0,0,ja,1,,,countdown
countenance,gelaat,countenance,0,0,0,0,0,0,0,0,0,0,nee,1,,,gelaat
counter,teller,counter,0,0,0,0,0,0,0,0,0,0,nee,1,,,teller
counteract,tegenwerken,counteract,0,0,0,0,0,0,0,0,0,0,nee,1,,,tegenwerken
counterbalance,tegengewicht,counterbalance,0,0,0,0,0,0,0,0,0,0,nee,1,,,tegengewicht
counterclaim,tegeneis,counterclaim,0,0,0,0,0,0,0,0,0,0,nee,1,,,tegeneis
counterpart,tegenhanger,counterpart,0,0,0,0,0,0,0,0,0,0,nee,1,,,tegenhanger
countess,gravin,countess,1,0,0,0,0,0,0,0,0,0,ja,1,,,gravin
countless,ontelbaar,countless,0,0,0,0,0,0,0,0,0,0,nee,1,,,ontelbaar
country,land,country,0,0,0,0,0,0,0,0,0,0,nee,1,,,land
countryman,landgenoot,countryman,0,0,0,0,0,0,0,0,0,1,ja,1,,,landgenoot
counts,tellingen,counts,0,0,0,0,0,0,0,0,0,0,nee,1,,,tellingen
county,provincie,county,0,0,0,0,0,0,0,0,0,1,ja,1,,,provincie
coup,coup,coup,0,0,1,0,0,0,0,0,1,0,ja,1,,,coup
couple,paar,couple,0,0,0,0,0,0,0,0,0,0,nee,1,,,paar
coupled,gepaard,coupled,0,0,0,0,0,0,0,0,0,0,nee,1,,,gepaard
coupon,coupon,coupon,0,0,0,0,0,0,0,0,0,0,nee,1,,,coupon
courage,moed,courage,1,0,0,0,0,0,0,0,0,0,ja,1,,,moed
courageous,moedig,courageous,1,0,0,0,0,1,0,0,0,0,ja,1,,,moedig
courier,koerier,courier,0,0,0,0,0,0,0,0,0,1,ja,1,,,koerier
courses,cursussen,courses,0,0,0,0,0,0,0,0,0,0,nee,1,,,cursussen
coursing,lange jacht,coursing,0,1,0,0,0,0,0,0,0,0,ja,2,,,lange jacht
court,rechtbank,court,0,0,1,1,0,1,0,0,0,0,ja,1,,,rechtbank
courteous,beleefd,courteous,1,0,0,0,0,0,0,0,0,0,ja,1,,,beleefd
courtesy,hoffelijkheid,courtesy,1,0,0,0,0,0,0,0,0,0,ja,1,,,hoffelijkheid
courthouse,gerechtsgebouw,courthouse,0,0,0,0,0,0,0,0,0,0,nee,1,,,gerechtsgebouw
courts,rechtbanken,courts,0,0,0,0,0,0,0,0,0,0,nee,1,,,rechtbanken
courtship,verkering,courtship,1,0,0,1,0,0,1,0,0,1,ja,1,,,verkering
courtyard,binnenplaats,courtyard,0,0,0,0,0,0,0,0,0,0,nee,1,,,binnenplaats
cove,inham,cove,1,0,0,1,1,1,1,0,0,0,ja,1,,,inham
